iteration,n10,n20,n30,n50,n100
334,75.584334,48.721878,43.818516,40.906203,30.625811
335,75.584334,48.721878,43.818516,40.906203,30.625811
336,75.584334,48.721878,43.818516,40.906203,30.625811
337,75.584334,48.721878,43.818516,40.906203,30.625811
338,75.584334,48.721878,43.818516,40.906203,30.625811
339,75.584334,48.721878,43.818516,40.906203,30.625811
340,75.584334,48.721878,43.818516,40.906203,30.625811
341,75.584334,48.721878,43.818516,40.906203,30.625811
342,75.584334,48.721878,43.818516,40.906203,30.625811
343,75.584334,48.721878,43.818516,40.906203,30.625811
344,75.584334,48.721878,43.818516,40.906203,30.625811
345,75.584334,48.721878,43.818516,40.906203,30.625811
346,75.584334,48.721878,43.818516,40.906203,30.625811
347,75.584334,48.721878,43.818516,40.906203,30.625811
348,75.584334,48.721878,43.818516,40.906203,30.625811
349,75.584334,48.721878,43.818516,40.906203,30.625811
350,75.584334,48.721878,43.818516,40.906203,30.625811
351,75.584334,48.721878,43.818516,40.906203,30.625811
352,75.584334,48.721878,43.818516,40.906203,30.625811
353,75.584334,48.721878,43.818516,40.906203,30.625811
354,75.584334,48.721878,43.818516,40.906203,30.625811
355,75.584334,48.721878,43.818516,40.906203,30.625811
356,75.584334,48.721878,43.818516,40.906203,30.625811
357,75.584334,48.721878,43.818516,40.906203,30.625811
358,75.584334,48.721878,43.818516,40.906203,30.625811
359,75.584334,48.721878,43.818516,40.906203,30.625811
360,75.584334,48.721878,43.818516,40.906203,30.625811
361,75.584334,48.721878,43.818516,40.906203,30.625811
362,75.584334,48.721878,43.818516,40.906203,30.625811
363,75.584334,48.721878,43.818516,40.906203,30.625811
364,75.584334,48.721878,43.818516,40.906203,30.625811
365,75.584334,48.721878,43.818516,40.906203,30.625811
366,75.584334,48.721878,43.818516,40.906203,30.625811
367,75.584334,48.721878,43.818516,40.906203,30.625811
368,75.584334,48.721878,43.818516,40.906203,30.625811
369,75.584334,48.721878,43.818516,40.906203,30.625811
370,75.584334,48.721878,43.818516,40.906203,30.625811
371,75.584334,48.721878,43.818516,40.906203,30.625811
372,75.584334,48.721878,43.818516,40.906203,30.625811
373,75.584334,48.721878,43.818516,40.906203,30.625811
374,75.584334,48.721878,43.818516,40.906203,30.625811
375,75.584334,48.721878,43.818516,40.906203,30.625811
376,75.584334,48.721878,43.818516,40.906203,30.625811
377,75.584334,48.721878,43.818516,40.906203,30.625811
378,75.584334,48.721878,43.818516,40.906203,30.625811
379,75.584334,48.721878,43.818516,40.906203,30.625811
380,75.584334,48.721878,43.818516,40.906203,30.625811
381,75.584334,48.721878,43.818516,40.906203,30.625811
382,75.584334,48.721878,43.818516,38.053622,30.625811
383,75.584334,48.721878,43.818516,38.053622,30.625811
384,75.584334,48.721878,43.818516,38.053622,30.625811
385,75.584334,48.721878,43.818516,38.053622,30.625811
386,75.584334,48.721878,43.818516,38.053622,30.625811
387,75.584334,48.721878,43.818516,38.053622,30.625811
388,75.584334,48.721878,43.818516,38.053622,30.625811
389,75.584334,48.721878,43.818516,38.053622,30.625811
390,51.694445,48.721878,43.818516,38.053622,30.625811
391,51.694445,48.721878,43.818516,38.053622,30.625811
392,51.694445,48.721878,43.818516,38.053622,30.625811
393,51.694445,48.721878,43.818516,38.053622,30.625811
394,51.694445,48.721878,43.818516,38.053622,30.625811
395,51.694445,48.721878,43.818516,38.053622,30.625811
396,51.694445,48.721878,43.818516,38.053622,30.625811
397,51.694445,48.721878,43.818516,38.053622,30.625811
398,51.694445,48.721878,43.818516,38.053622,30.625811
399,51.694445,48.721878,43.818516,38.053622,30.625811
400,51.694445,48.721878,43.818516,38.053622,30.625811
401,51.694445,48.721878,43.818516,38.053622,30.625811
402,51.694445,48.721878,43.818516,38.053622,30.625811
403,51.694445,48.721878,43.818516,38.053622,30.625811
404,51.694445,48.721878,43.818516,38.053622,30.625811
405,51.694445,48.721878,43.818516,38.053622,30.625811
406,51.694445,48.721878,43.818516,38.053622,30.625811
407,51.694445,48.721878,43.818516,38.053622,30.625811
408,51.694445,48.721878,43.818516,38.053622,30.625811
409,51.694445,48.721878,43.818516,38.053622,30.625811
410,51.694445,48.721878,43.818516,38.053622,30.625811
411,51.694445,48.721878,43.818516,38.053622,30.625811
412,51.694445,48.721878,43.818516,38.053622,30.625811
413,51.694445,48.721878,43.818516,38.053622,30.625811
414,51.694445,48.721878,43.818516,38.053622,30.625811
415,51.694445,48.721878,43.818516,38.053622,30.625811
416,51.694445,48.721878,43.818516,38.053622,30.625811
417,51.694445,48.721878,43.818516,38.053622,30.625811
418,51.694445,48.721878,43.818516,38.053622,30.625811
419,51.694445,48.721878,43.818516,38.053622,30.625811
420,51.694445,48.721878,43.818516,38.053622,30.625811
421,51.694445,48.721878,43.818516,38.053622,30.625811
422,51.694445,48.721878,43.818516,38.053622,30.625811
423,51.694445,48.721878,43.818516,38.053622,30.625811
424,51.694445,48.721878,43.818516,38.053622,30.625811
425,51.694445,48.721878,43.818516,38.053622,30.625811
426,51.694445,48.721878,43.818516,38.053622,30.625811
427,51.694445,48.721878,43.818516,38.053622,30.625811
428,51.694445,48.721878,43.818516,38.053622,30.625811
429,51.694445,48.721878,43.818516,38.053622,30.625811
430,51.694445,48.721878,43.818516,38.053622,30.625811
431,51.694445,48.721878,43.818516,38.053622,30.625811
432,51.694445,48.721878,43.818516,38.053622,30.625811
433,51.694445,48.721878,43.818516,38.053622,30.625811
434,51.694445,48.721878,43.818516,38.053622,30.625811
435,51.694445,48.721878,43.818516,38.053622,30.625811
436,51.694445,48.721878,43.818516,38.053622,30.625811
437,51.694445,48.721878,43.818516,38.053622,30.625811
438,51.694445,48.721878,43.818516,38.053622,30.625811
439,51.694445,48.721878,43.818516,38.053622,30.625811
440,51.694445,48.721878,43.818516,38.053622,30.625811
441,51.694445,48.721878,43.818516,38.053622,30.625811
442,51.694445,48.721878,43.818516,38.053622,30.625811
443,51.694445,48.721878,43.818516,38.053622,30.625811
444,51.694445,48.721878,43.818516,38.053622,30.625811
445,51.694445,48.721878,43.818516,38.053622,30.625811
446,51.694445,48.721878,43.818516,38.053622,30.625811
447,51.694445,48.721878,43.818516,38.053622,30.625811
448,51.694445,48.721878,43.818516,38.053622,30.625811
449,51.694445,48.721878,43.818516,38.053622,30.625811
450,51.694445,48.721878,43.818516,38.053622,30.625811
451,51.694445,48.721878,43.818516,38.053622,30.625811
452,51.694445,48.721878,43.818516,38.053622,30.625811
453,51.694445,48.721878,43.818516,38.053622,30.625811
454,51.694445,48.721878,43.818516,38.053622,30.625811
455,51.694445,48.721878,43.818516,38.053622,30.625811
456,51.694445,48.721878,43.818516,38.053622,30.625811
457,51.694445,48.721878,43.818516,38.053622,30.625811
458,51.694445,48.721878,43.818516,38.053622,30.625811
459,51.694445,48.721878,43.818516,38.053622,30.625811
460,51.694445,48.721878,43.818516,38.053622,30.625811
461,51.694445,48.721878,43.818516,38.053622,30.625811
462,51.694445,48.721878,43.818516,38.053622,30.625811
463,51.694445,48.721878,43.818516,38.053622,30.625811
464,51.694445,48.721878,43.818516,38.053622,30.625811
465,51.694445,48.721878,43.818516,38.053622,30.625811
466,51.694445,48.721878,43.818516,38.053622,30.625811
467,51.694445,48.721878,43.818516,38.053622,30.625811
468,51.694445,48.721878,43.818516,38.053622,30.625811
469,51.694445,48.721878,43.818516,38.053622,30.625811
470,51.694445,48.721878,43.818516,38.053622,30.625811
471,51.694445,48.721878,43.818516,38.053622,30.625811
472,51.694445,48.721878,43.818516,38.053622,30.625811
473,51.694445,48.721878,43.818516,38.053622,30.625811
474,51.694445,48.721878,43.818516,38.053622,30.625811
475,51.694445,48.721878,43.818516,38.053622,30.625811
476,51.694445,48.721878,43.818516,38.053622,30.625811
477,51.694445,48.721878,43.818516,38.053622,30.625811
478,51.694445,48.721878,43.818516,38.053622,30.625811
479,51.694445,48.721878,43.818516,38.053622,30.625811
480,51.694445,48.721878,43.818516,38.053622,30.625811
481,51.694445,48.721878,43.818516,38.053622,30.625811
482,51.694445,48.721878,43.818516,38.053622,30.625811
483,51.694445,48.721878,43.818516,38.053622,30.625811
484,51.694445,48.721878,43.818516,38.053622,30.625811
485,51.694445,48.721878,43.818516,38.053622,30.625811
